project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
TCGA-PAAD	712335e1-f1e9-44b9-957c-497ea5e8fa2f	TCGA-FB-AAPU	b52b3fd1-29b7-4c74-b4bd-03f88500960f	TCGA-FB-AAPU-01A	f4010ae5-9857-4bf5-89a5-bbd576d6843f	TCGA-FB-AAPU-01A-31	60305439-0713-4127-9a90-c38eafcc6a12	TCGA-FB-AAPU-01A-31R	1.85	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.72	8.6	UV Spec	released	'--
TCGA-PAAD	712335e1-f1e9-44b9-957c-497ea5e8fa2f	TCGA-FB-AAPU	b52b3fd1-29b7-4c74-b4bd-03f88500960f	TCGA-FB-AAPU-01A	f4010ae5-9857-4bf5-89a5-bbd576d6843f	TCGA-FB-AAPU-01A-31	ed5a39e0-449e-4a6c-b058-47cd942aa6b6	TCGA-FB-AAPU-01A-31D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	712335e1-f1e9-44b9-957c-497ea5e8fa2f	TCGA-FB-AAPU	fe96cf5d-f765-4584-a68d-3cc58cb2436d	TCGA-FB-AAPU-11A	fa5ec855-fbe9-4432-b668-c6a9d4d1619d	TCGA-FB-AAPU-11A-12	d95b7683-ea86-414c-9686-0083448e5f03	TCGA-FB-AAPU-11A-12D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	a5748656-5330-417a-8938-01f69ddb3576	TCGA-2J-AAB9	02884cc4-f047-4d54-8389-b835e7707958	TCGA-2J-AAB9-01A	c8dd6705-40e4-487a-8022-f04d17e58b2e	TCGA-2J-AAB9-01A-11	5971762b-15f1-47b2-bb7c-a812ec7306ea	TCGA-2J-AAB9-01A-11R	1.94	'--	'--	RNA	R	'--	0.18	mirVana (Allprep DNA) RNA	Yes	1.35	7.8	UV Spec	released	'--
TCGA-PAAD	a5748656-5330-417a-8938-01f69ddb3576	TCGA-2J-AAB9	02884cc4-f047-4d54-8389-b835e7707958	TCGA-2J-AAB9-01A	c8dd6705-40e4-487a-8022-f04d17e58b2e	TCGA-2J-AAB9-01A-11	ad0e23ca-d6c0-48db-af13-74d55ddc4355	TCGA-2J-AAB9-01A-11D	'--	'--	'--	DNA	D	'--	0.16	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	a5748656-5330-417a-8938-01f69ddb3576	TCGA-2J-AAB9	735d3019-d9cb-4da5-b821-c05f42a65e0e	TCGA-2J-AAB9-10A	1a41a813-1e7e-40ab-ab4d-f3aa1f1bf6d4	TCGA-2J-AAB9-10A-01	b7aca055-1331-4fdc-9d2f-32c53f1ec410	TCGA-2J-AAB9-10A-01D	'--	'--	'--	DNA	D	'--	0.16	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	20094e3e-cee3-41dd-8553-1fc393117786	TCGA-F2-A44G	04eb5d4f-8fb2-465e-91e8-29c881679e34	TCGA-F2-A44G-01A	86b8b9de-b6d6-47c4-8909-b791032b9935	TCGA-F2-A44G-01A-11	a4c8589a-f671-4647-9636-747e1c9d4431	TCGA-F2-A44G-01A-11D	'--	'--	'--	DNA	D	'--	0.15	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
TCGA-PAAD	20094e3e-cee3-41dd-8553-1fc393117786	TCGA-F2-A44G	04eb5d4f-8fb2-465e-91e8-29c881679e34	TCGA-F2-A44G-01A	86b8b9de-b6d6-47c4-8909-b791032b9935	TCGA-F2-A44G-01A-11	cbc10336-0b46-49a8-a107-1ff1120aa8ff	TCGA-F2-A44G-01A-11W	'--	'--	'--	Repli-G (Qiagen) DNA	W	'--	'--	Repli-G	Yes	'--	'--	'--	released	'--
TCGA-PAAD	20094e3e-cee3-41dd-8553-1fc393117786	TCGA-F2-A44G	04eb5d4f-8fb2-465e-91e8-29c881679e34	TCGA-F2-A44G-01A	86b8b9de-b6d6-47c4-8909-b791032b9935	TCGA-F2-A44G-01A-11	fa485723-bf3a-42c0-9a66-196690e67f0f	TCGA-F2-A44G-01A-11R	2.02	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.48	7.4	UV Spec	released	'--
TCGA-PAAD	20094e3e-cee3-41dd-8553-1fc393117786	TCGA-F2-A44G	8cac0455-587a-40d2-87e8-d84dbaecfe5e	TCGA-F2-A44G-10A	ef2e602d-8032-4dd8-ab88-d6ec8fca973b	TCGA-F2-A44G-10A-01	c3e7fec6-ca83-4c2f-9516-0e37c7c0425e	TCGA-F2-A44G-10A-01D	'--	'--	'--	DNA	D	'--	0.17	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
