Data Format	Access	Associated Entities Entity Submitter Id	Associated Entities Entity Type	Associated Entities Case Id	Associated Entities Entity Id	File Name	Submitter Id	Data Category	Analysis Workflow Version	Analysis Input Files Data Format	Analysis Input Files Proportion Reads Mapped	Analysis Input Files Total Reads	Analysis Input Files Access	Analysis Input Files File Name	Analysis Input Files Proportion Base Mismatch	Analysis Input Files Proportion Reads Duplicated	Analysis Input Files Submitter Id	Analysis Input Files Data Category	Analysis Input Files Platform	Analysis Input Files File Size	Analysis Input Files Created Datetime	Analysis Input Files Average Base Quality	Analysis Input Files Md5sum	Analysis Input Files Updated Datetime	Analysis Input Files File Id	Analysis Input Files Pairs On Diff Chr	Analysis Input Files Data Type	Analysis Input Files Average Insert Size	Analysis Input Files Average Read Length	Analysis Input Files State	Analysis Input Files Experimental Strategy	Analysis Updated Datetime	Analysis Workflow Link	Analysis Submitter Id	Analysis State	Analysis Workflow Type	Analysis Analysis Id	Analysis Created Datetime	File Size	Md5sum	File Id	Data Type	State	Experimental Strategy	Annotations Entity Submitter Id	Annotations Notes	Annotations Submitter Id	Annotations Classification	Annotations Entity Id	Annotations Created Datetime	Annotations Annotation Id	Annotations Entity Type	Annotations Updated Datetime	Annotations Case Id	Annotations State	Annotations Category	Annotations Status
TSV	open	TCGA-HZ-8315-01A-11R-2404-07	aliquot	02dbd5fa-e31f-4486-8df8-5b851f2e92bd	b3687219-3921-4263-9d1f-7b9f525c5a05	ebf880a4-a168-49e9-b861-d1fc1a8b7d27.rna_seq.augmented_star_gene_counts.tsv	4302f450-b275-4df3-8645-46e1bdd8ddfe	Transcriptome Profiling	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	BAM	0.9809433600487486	159381140	controlled	ebf880a4-a168-49e9-b861-d1fc1a8b7d27.rna_seq.genomic.gdc_realn.bam	0.006628681		35cabfd2-dd5a-47f4-92b2-1e9a8d6ccf20	Sequencing Reads	Illumina	8687369714	2021-12-13T19:20:08.841714-06:00	36	79012412d99dbd179e7f08650b7f6f33	2022-01-19T14:08:26.678323-06:00	dc759c30-b9d5-4486-a913-be80d903c699	310802	Aligned Reads	1239	48	released	RNA-Seq	2022-01-19T14:08:26.678323-06:00	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	ebf880a4-a168-49e9-b861-d1fc1a8b7d27_star__counts	released	STAR - Counts	a826262e-04bb-4a42-95a1-22a79c412ff5	2021-12-13T19:47:31.283195-06:00	4255484	b5f2ce88640a416e9976440acadf5dea	9a48d83c-2674-48e6-a023-84170bf31145	Gene Expression Quantification	released	RNA-Seq													
TSV	open	TCGA-3A-A9IX-01A-11R-A41B-07	aliquot	959e1f13-360e-4e12-add5-bf9a376990d2	79779bb1-b381-4d71-8821-83b82533c47c	325070af-c5d9-485c-90d7-e194cbd7c7cb.rna_seq.augmented_star_gene_counts.tsv	e6639cbf-ce65-4267-93cd-27b9b89122a3	Transcriptome Profiling	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	BAM	0.9883365038863422	143868698	controlled	325070af-c5d9-485c-90d7-e194cbd7c7cb.rna_seq.genomic.gdc_realn.bam	0.001863318		9027a6a3-4901-4c43-a5e6-8a186a538b96	Sequencing Reads	Illumina	6486019261	2021-12-13T19:13:55.010698-06:00	38	b53b0cac917ebace429eae77c972ba08	2022-01-19T14:08:26.678323-06:00	24909608-d092-4e9e-8c66-e8245545186a	214070	Aligned Reads	1083	48	released	RNA-Seq	2022-01-19T14:08:26.678323-06:00	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	325070af-c5d9-485c-90d7-e194cbd7c7cb_star__counts	released	STAR - Counts	e803e521-67e0-418c-b21c-ddefd065afa4	2021-12-13T19:49:28.265856-06:00	4249185	e4c1bb9e86dc0951f40eb4aa1937ef3c	103eafcd-aa33-4f6a-b3c4-a3002c951254	Gene Expression Quantification	released	RNA-Seq													
TSV	open	TCGA-S4-A8RP-01A-11R-A36G-07	aliquot	ce2bfd9e-6382-47bb-9fd1-b77afe57e948	e23db936-a1cc-4ff3-912b-cf8237d372b7	8bc8bd50-aea9-422c-891e-f6d0f4ff7d33.rna_seq.augmented_star_gene_counts.tsv	456931c9-245e-40f5-a02c-070cdf8642d0	Transcriptome Profiling	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	BAM	0.9753383173821574	104155748	controlled	8bc8bd50-aea9-422c-891e-f6d0f4ff7d33.rna_seq.genomic.gdc_realn.bam	0.002745551		83b0772e-b9fe-426f-8448-0e26f44671fd	Sequencing Reads	Illumina	5604391278	2021-12-13T19:16:58.057729-06:00	36	073083be2ad0a340ab5ad6443e3f8bd7	2022-01-19T14:08:26.678323-06:00	571df579-f2b0-46c0-9c26-adcf62608460	163504	Aligned Reads	1087	48	released	RNA-Seq	2022-01-19T14:08:26.678323-06:00	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	8bc8bd50-aea9-422c-891e-f6d0f4ff7d33_star__counts	released	STAR - Counts	19d4376c-7acc-4032-adfd-8a6210efeca4	2021-12-13T19:49:07.443963-06:00	4244822	791e1ff0f3508dee0a13c9db1496d213	425613bb-a981-4984-95d5-50839b89a04e	Gene Expression Quantification	released	RNA-Seq													
TSV	open	TCGA-2J-AAB9-01A-11R-A41B-07	aliquot	a5748656-5330-417a-8938-01f69ddb3576	23da230e-1c63-4e5b-bf92-8a1bec33073c	4271b388-e311-4cb1-8e89-f031f1a7e032.rna_seq.augmented_star_gene_counts.tsv	d12fd3e5-ea58-4c78-a4f6-6b63049476d9	Transcriptome Profiling	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	BAM	0.9837400062031204	55868656	controlled	4271b388-e311-4cb1-8e89-f031f1a7e032.rna_seq.genomic.gdc_realn.bam	0.001832688		9f9b5c2e-565e-41ed-b51e-69b1ef47e52b	Sequencing Reads	Illumina	2650179196	2021-12-13T19:14:06.286290-06:00	38	9c94b2d76a1bad4b41804aa0a8389995	2022-01-19T14:08:26.678323-06:00	7a270ba7-a4a7-4ac6-920d-ad198920bd68	74230	Aligned Reads	1126	48	released	RNA-Seq	2022-01-19T14:08:26.678323-06:00	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	4271b388-e311-4cb1-8e89-f031f1a7e032_star__counts	released	STAR - Counts	f4715750-301f-486e-8257-14769742bfd8	2021-12-13T19:49:53.784050-06:00	4214240	e186df583d97592d7648c0d19ec20f35	4d5b1ac7-1ed8-4ea7-bbaf-a83d1c5cddf3	Gene Expression Quantification	released	RNA-Seq													
TSV	open	TCGA-F2-7276-01A-11R-2156-07	aliquot	e4babd46-005a-4af3-8041-131648d9c2c6	60273208-fd67-4180-a977-5095576c14e9	a1111943-685b-45e8-8b97-74f91f5dd048.rna_seq.augmented_star_gene_counts.tsv	8415878b-c8f5-4d92-94ef-2b54eea52166	Transcriptome Profiling	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	BAM	0.9861611907506881	160638026	controlled	a1111943-685b-45e8-8b97-74f91f5dd048.rna_seq.genomic.gdc_realn.bam	0.002666673		21bc7b92-3b28-42fe-87cd-03c46aba4781	Sequencing Reads	Illumina	8445836057	2021-12-13T19:17:51.152869-06:00	37	2f4d6cd34249c37aeb9c93dbdcf6a3c7	2022-01-19T14:08:26.678323-06:00	22b91db4-5f67-455f-9816-afa5c43222c2	371131	Aligned Reads	1318	48	released	RNA-Seq	2022-01-19T14:08:26.678323-06:00	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	a1111943-685b-45e8-8b97-74f91f5dd048_star__counts	released	STAR - Counts	bff38415-2278-4ae3-bc34-208a01bb6526	2021-12-13T19:47:13.380858-06:00	4252569	0f68defbd74505078f5769fb7ce5ad7f	e927777e-e4e2-4dfe-af34-a0b0a6342e9a	Gene Expression Quantification	released	RNA-Seq	TCGA-F2-7276	Per the PAAD EPC, this tumor is atrophic pancreas with a single focus of low-grade PanIN	23122	Notification	e4babd46-005a-4af3-8041-131648d9c2c6	2014-10-15T00:00:00	dd6478fc-4f06-5645-a147-22db8ef8878a	case	2018-08-23T16:32:20.747393-05:00	e4babd46-005a-4af3-8041-131648d9c2c6	released	Item does not meet study protocol	Approved
TSV	open	TCGA-RL-AAAS-01A-32R-A39D-07	aliquot	c53d66d9-ad9a-417e-a441-df5bcf1ae13f	f3b11290-409e-442e-acd8-a68a3e52fe24	de01378c-dcfd-4200-b353-420b423f7587.rna_seq.augmented_star_gene_counts.tsv	c1a63db2-c108-457e-b847-dacfc94bcbb0	Transcriptome Profiling	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	BAM	0.9504908862527234	115372960	controlled	de01378c-dcfd-4200-b353-420b423f7587.rna_seq.genomic.gdc_realn.bam	0.002618109		8ae5f9a5-bbf1-4df1-b0b4-85a0db0d1383	Sequencing Reads	Illumina	5681079346	2021-12-13T19:19:42.849473-06:00	37	d53e86fc6233064113f3dbcbc5614827	2022-01-19T14:08:26.678323-06:00	40483b0d-30c5-4bd2-af2f-c4c6a167cd36	142099	Aligned Reads	1100	48	released	RNA-Seq	2022-01-19T14:08:26.678323-06:00	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	de01378c-dcfd-4200-b353-420b423f7587_star__counts	released	STAR - Counts	0ae10a15-721e-49e9-a976-39806f1b4af1	2021-12-13T19:49:21.038820-06:00	4237300	52b82f72ee6ace61b3a81a12e336f3e0	f66069a4-d0b9-46af-9401-367c424ba19a	Gene Expression Quantification	released	RNA-Seq	TCGA-RL-AAAS	Per the PAAD EPC, this tumor is normal pancreas with atrophy	23126	Notification	c53d66d9-ad9a-417e-a441-df5bcf1ae13f	2014-10-15T00:00:00	bcf5c94d-65e0-57d8-97d2-e2a53732fed5	case	2018-08-23T16:32:20.747393-05:00	c53d66d9-ad9a-417e-a441-df5bcf1ae13f	released	Item does not meet study protocol	Approved
TSV	open	TCGA-PZ-A5RE-01A-11R-A32O-07	aliquot	c26002e7-abf1-42b9-bf36-0e97249d872f	3648cb64-1da6-455b-8259-95574dde606f	2442dd44-a393-4160-a377-3082a9a825ba.rna_seq.augmented_star_gene_counts.tsv	dc161a64-9110-45b3-a107-835e30234746	Transcriptome Profiling	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	BAM	0.9873158879664546	138655114	controlled	2442dd44-a393-4160-a377-3082a9a825ba.rna_seq.genomic.gdc_realn.bam	0.002732701		78d43a4c-e96a-4057-b938-01a992ead114	Sequencing Reads	Illumina	7256313987	2021-12-13T19:13:30.131987-06:00	36	ce4b9444552fa1b8c35e15b7924c7cc5	2022-01-19T14:08:26.678323-06:00	0d0a58f9-2d9c-48dc-92ae-ae8cec30e3dd	275478	Aligned Reads	1077	48	released	RNA-Seq	2022-01-19T14:08:26.678323-06:00	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	2442dd44-a393-4160-a377-3082a9a825ba_star__counts	released	STAR - Counts	79dde344-deb4-43be-8e5b-7c830d720e1b	2021-12-13T19:48:51.745633-06:00	4241132	50e5f90b2cda1ac0f0c75e61611cdfba	e501087c-0bfa-4447-b7f3-4ca93b4a6c0e	Gene Expression Quantification	released	RNA-Seq													
TSV	open	TCGA-IB-7651-01A-11R-2156-07	aliquot	3559f697-8fec-4f36-962c-632272fe9c9c	20810196-c093-459a-ad14-c488376363b5	c60e5bb7-e2f1-4583-a0eb-1584c45e8afd.rna_seq.augmented_star_gene_counts.tsv	6a2978cf-9009-4abf-b7fc-9681a12fa55c	Transcriptome Profiling	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	BAM	0.9844099586225616	204042114	controlled	c60e5bb7-e2f1-4583-a0eb-1584c45e8afd.rna_seq.genomic.gdc_realn.bam	0.002794478		8134dcc1-2865-4988-bc4e-c84e8e504153	Sequencing Reads	Illumina	11012604490	2021-12-13T19:19:03.933876-06:00	37	0d9fd2599f346797bbb693e3ad258eec	2022-01-19T14:08:26.678323-06:00	42e3cbc4-4cab-4dc1-87b4-97c2cdbce271	508922	Aligned Reads	1402	48	released	RNA-Seq	2022-01-19T14:08:26.678323-06:00	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	c60e5bb7-e2f1-4583-a0eb-1584c45e8afd_star__counts	released	STAR - Counts	3a6a1a4f-08ad-44cc-b2d8-f519f077b26d	2021-12-13T19:49:01.578725-06:00	4255311	e46f0a8074623334a1c41c6a411bc637	40f2771e-e140-46ed-b472-91c0233e6528	Gene Expression Quantification	released	RNA-Seq													
TSV	open	TCGA-F2-6880-01A-11R-2156-07	aliquot	c60a4c63-607b-4d59-8625-bc5d20207647	097b58ac-149d-4a55-b359-08e6d3582712	5a109534-610c-4baf-8391-392171c753bf.rna_seq.augmented_star_gene_counts.tsv	1886a089-afc4-4699-b074-3f74838310b4	Transcriptome Profiling	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	BAM	0.9739368632848945	142357232	controlled	5a109534-610c-4baf-8391-392171c753bf.rna_seq.genomic.gdc_realn.bam	0.002526861		b44d0366-c26e-436a-a7c8-a33fa4748d43	Sequencing Reads	Illumina	8111373281	2021-12-13T19:14:45.637347-06:00	37	38a71d1ba35a1bcf84736d63c763e0aa	2022-01-19T14:08:26.678323-06:00	4d5294ad-8189-4f5f-b30b-84cfc840baa8	156111	Aligned Reads	1466	48	released	RNA-Seq	2022-01-19T14:08:26.678323-06:00	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	5a109534-610c-4baf-8391-392171c753bf_star__counts	released	STAR - Counts	f56ccdf2-79af-4c78-8e7d-c598f5786a61	2021-12-13T19:50:17.899514-06:00	4199980	41d935e5391deaf1a6cd0bdd4668543e	59c11d1d-90c4-4857-91e3-bc12183c6282	Gene Expression Quantification	released	RNA-Seq	TCGA-F2-6880	Per the PAAD EPC, this tumor is normal pancreas with atrophy	23121	Notification	c60a4c63-607b-4d59-8625-bc5d20207647	2014-10-15T00:00:00	e6e57bcc-6f07-5ed6-a126-17bb060cc2dd	case	2018-08-23T16:32:20.747393-05:00	c60a4c63-607b-4d59-8625-bc5d20207647	released	Item does not meet study protocol	Approved
TSV	open	TCGA-LB-A9Q5-01A-11R-A39D-07	aliquot	31c23e65-1f18-4f59-8a54-31febedef8a2	2ecf5221-4137-4793-8717-943087045547	bf1eeff9-7b55-4609-ab8a-003ce2727faa.rna_seq.augmented_star_gene_counts.tsv	aca4f60a-4df2-4cff-9bb8-e4d8f00edfa5	Transcriptome Profiling	5d8c131bbff59fb0c969217fc1d44e6d1503cd1f	BAM	0.9143192178135581	111797182	controlled	bf1eeff9-7b55-4609-ab8a-003ce2727faa.rna_seq.genomic.gdc_realn.bam	0.002346093		4b022503-628b-4eee-bc6d-a4a21f50fc6a	Sequencing Reads	Illumina	5640694570	2021-12-13T19:18:57.519723-06:00	36	73af422a8c6c473ec1bf9ee8d3d186d0	2022-01-19T14:08:26.678323-06:00	c5e88398-24be-4dd4-8d1e-2d6dc608d21b	117411	Aligned Reads	1409	48	released	RNA-Seq	2022-01-19T14:08:26.678323-06:00	https://github.com/NCI-GDC/gdc-rnaseq-cwl/blob/5d8c131bbff59fb0c969217fc1d44e6d1503cd1f/rnaseq-star-align/star2pass.rnaseq_harmonization.cwl	bf1eeff9-7b55-4609-ab8a-003ce2727faa_star__counts	released	STAR - Counts	eb3eae93-3e96-4bf2-bd23-4e91be614d16	2021-12-13T19:48:02.086635-06:00	4214270	6b3359434df736e4472a7bd886588f95	50db8a7b-1d89-4c9a-a285-5de3c2bae5cf	Gene Expression Quantification	released	RNA-Seq													
